id,type,answer_count,question_body,title,uri
295332,question,,"
	By definition Mohs surgery requires one individual to work as both surgeon and pathologist; if either of those roles is delegated to another doctor, by definition it is not Mohs surgery. If you are looking for a Mohs surgeon, I would recommend that you see a member of the American College of Mohs Surgery (ACMS). To be a member of the ACMS an individual has to complete an accredited fellowship in Mohs surgery, which includeds additional advanced training in Mohs surgery, reconstructive surgery and dermatopathology.
","Andrew Kaufman, MD answers: Should the Surgeon Also Be the Pathologist for MOHS Surgery?",/question/mohs-surgery-surgeon-pathologist
7344994,question,1,"I had MOHS surgery 5 days ago on my scalp, right side, slightly behind my hairline. I have slight swelling around my eye/temple on the right side of my head. Is that normal? I've had some headaches, tenderness and overall aches and pains more on a moderate level but otherwise I feel okay. I'm just concerned the swelling 5 days post-op could be concerning and it seem unusual to me that the swelling is near my temple when the surgery was on my scalp.",Swelling after Mohs surgery. 5 days post-op. Is this normal?,/question/san-diego-ca-swelling-after-mohs-surgery
13406931,question,,"Typically, we leave this up to your MOHs surgeon. However, you do not want to get filler in the same area as your surgery until it is completely healed and there is no visible signs of swelling. If you are wanting filler outside of the surgery site, then you should be fine to proceed.","Glenn Lyle, MD answers: How long should I wait between Mohs surgery and Juvederm?",/question/las-vegas-nevada-juvederm-mohs-surgery-wait-time
5722207,question,2,I had Mohs surgery 5 months ago to remove Basel Cell from 30% of my scalp. I am still having headaches two to thee times weekly that I have to go to bed unable to be in light or around loud sound. Sometimes I have nausea with the headache. I am unable to take most pain medications. How long should it take for this to stop happening?,"Headaches months after Mohs surgery to scalp, should this be happening?",/question/dallas-tx-headaches-months-after-mohs-surgery-scalp
1564112,question,,"Mohs surgery is the best method to treat your Basal cell cancer, especially if it is sclerosing subtype. Mohs will catch roots that excisional surgery does not. See if you can obtain an earlier appointment with the Mohs surgeon.","Omar Ibrahimi, MD answers: I have sclerosis basal cell cancer on my eyebrow. Can I wait 6 months for MOHs surgery?",/question/mississauga-i-sclerosis-basal-cell-cancer-my-eyebrow-wait-months-for-mohs
13579719,question,,"Given your lack of scalp laxity and previous surgeries, tissue expansion is one option for covering the bald spot after Mohs surgery. It involves stretching the skin over time to cover the wound, but it does carry some risk of tissue necrosis, especially in areas with scarring or reduced blood flow.Other possibilities include local flaps, though limited laxity might make that tricky, or skin grafts from another part of your body, though they wont look or feel the same as scalp skin.","Ross Kopelman, DO answers: Scalp Reconstruction After Mohs Surgery",/question/fairfax-virginia-scalp-reconstruction-after-mohs-surgery
2048157,question,,"Mohs surgery may be warranted for a basal cell carcinoma on chest, if it shows aggressive histology under microscope, is large than 2 cm (3/4), or has been previously treated. Under these circumstances the insurance is likely to cover&nbsp;Mohs surgery. You may want to discuss this with your dermatologist and/or Mohs surgeon.","Larisa Ravitskiy, MD answers: Should I have normal removal of basil cell on my chest or have mohs surgery?",/question/mukwonago-wi-normal-removal-basil-cell-chest-mohs-surgery
12679668,question,,"The best treatment modality for any recurrent tumor, is still Mohs micrographic surgery. Even though the recurrence rate of this surgery would be higher than that of your first surgery, it still has the lowest recurrence rate of any other treatment modality.","Hooman Khorasani, MD answers: Cancer came back in the same spot 5 years after Mohs Surgery. Any options?",/question/port-st-lucie-florida-cancer-back-spot-years-after-mohs-surgery-options
1598608,question,3,"I have recently been diagnosed with basal cell carcinoma and recommended to Mohs surgery. I am having delays getting an appointment with a Mohs surgeon. I am supposed to leave for Europe in February for 3 months. What is the latest I canreasonably have the surgery in order to safely travel? If I can't get a timely appointment, would it be safe to leave it til I return May 1? Thanks so much?",How long can I safely wait between diagnosis of basal cell carcinoma and Mohs surgery?,/question/louisville-ky-long-safely-wait-diagnosis-basal-cell-carcinoma-and-mohs-surgery
371901,question,4,"
	Is It Common for the Scar on the Forehead from Mohs Surgery to Be Depressed? How To Fix?
",Is It Common for the Scar on the Forehead from Mohs Surgery to Be Depressed? How To Fix?,/question/common-scar-forehead-mohs-surgery-depressed
8029268,question,2,Have have to undergo Moh's surgery for removal of a Basal Cell Carcinoma on the side of my nose near the corner of my eye. I am worried about that my face with be left with a gapping hole on the side of my nose that the oculoplastic surgeon will be able to repair with as little disturbance to the symmetry of my face. What are some options that are available to mohs patients and what concerns should I address?&nbsp;,Concerns with Mohs surgery on the side of nose near the tear duct. What options are available?,/question/nyack-ny-concerns-mohs-surgery-side-nose-tear-duct
220379,question,14,Is mohs surgery is the best technique for treating skin cancer on the nose. Are there any reasonable alternatives to be considered?,Mohs Surgery for Skin Cancer,/question/mohs-surgery-skin-cancer
5967299,question,,Thanks for the question. The benefit of Mohs is that it is tissue sparing and has slightly higher clearance rates (99% versus 95% for BCC). The fact that you have to wait 8 months even for a slow growing tumour is&nbsp;too long. It would be better to find an alternative Mohs surgeon. It is also quite possible&nbsp;a standard non-Mohs excision done in a timely fashion would leave you with a smaller defect than&nbsp;Mohs surgery which is delayed 8 months. Best of luck.,"Callum Faris, MBBS answers: Wait 8 Months for MOHS Surgery?",/question/wait-months-for-mohs-surgery
2370615,question,1,"I had mohs surgery on my scalp, Dr had to go to the bone to get it all. He took about a silver dollar size spo. It's been 9 days and I'm still getting headaches, is this normsl.",Headaches after mohs surgery. Is this normal?,/question/grand-island-ny-headaches-sfter-mohs-surgery
12599262,question,3,Wanting to find out surgical and non surgical options for lifting lower eyelid to restore/improve symmetry. Eyelid retracted soon after reconstructive surgery 6 years ago to repair Mohs removal of BCC. Kindly let me know surgical options likelihood of success and risks. And then also non surgical options.. heard about Plasma treatment to lift? Thank you,Which procedure can help lift my lower eyelid and improve symmetry 6 years after mohs surgery? (photos),/question/melbourne-au-eyelid-symmetry-options-mohs-plasma-treatment
12231808,question,5,"4 years ago I had 1 scrape Mohs surgery on my nose! They cut from the top of my nose to the tip of my nose! Scarring looks good; however, after 4 years my cartilage is very pronounced! The doctor told me that is because they stretched the skin! He advised me to let it go; however, it is not his nose! He said he could cut the tip of the cartilage off-I would then be left with a scar and that it would turn white! HELP-What should I do?",Revision due to Mohs Surgery - what should I do? (Photo),/question/revision-due-mohs-surgery-photo
11826622,question,1,Had skin cancer on left nasal ala (neurofibroma) and a section of nostril was removed in 2019. In 2021 had rhinoplasty to adjust the non- cancer side; straighten septum (nearly full blocked on one side); remove small hump; reduce turbinates (chronic sinus infections); reduce bridge; lift tip for more feminine profile. Nose function is perfect now and appearance is improved however the Mohs surgery side is still smaller and notched up.,Can a skin graft be done after Mohs surgery and Rhinoplasty? (photos),/question/longwood-florida-skin-graft-after-mohs-surgery-rhinoplasty
6955047,question,1,My mobs surgery on my ear has been healing well until yesterday when it turned red on the area where the growth was removed and the redness spread a little to the upper ear.,Infection from Mohs surgery on ear?,/question/apple-valley-ca-infection-mohs-surgery
2269272,question,2,"I had Mohs surgery to remove a detected carcinoma on my forehead mid Sept. and at the onset, I had headaches which continue today. They are not as severe but do continue. I take 1000mg Tylenol 3 times a day and get some relief. Any recommendations?",Head pain after I had Mohs surgery,/question/casa-grande-az-head-pain-after-ii-mohs-surgery
1563439,question,2,I am female 42 years old. Had excision surgery for a lesion above eyebrow that was not healing for 6 months and biopsy confirmed sclerosis bcc not fully excised. Wait times for MOHs surgery are 6 months in my province. Should I have another excision surgery performed or wait for Mohs?,I have sclerosis basal cell cancer on my eyebrow. Can I wait 6 months for MOHs surgery?,/question/mississauga-i-sclerosis-basal-cell-cancer-my-eyebrow-wait-months-for-mohs
6330399,question,2,"Several years ago, I had Mohs surgery to remove a basal cell spot on my scalp. The spot scabs and bleeds on occasion after all this time. My hair stylist notices it, too. The PA said it is common. Is it normal for that spot to still have irritation?",Is it normal for a Mohs surgery spot to bleed and scab after several years?,/question/illinois-il-normal-mohs-surgery-spot-bleed-scab-after-years
4620403,question,,"While virtually every Mohs Surgeon quotes a 99% cure rate for basal cell carcinoma, that figure comes from several large studies done in the past. I don't believe every doctor doing Mohs Surgery is capable of this. On the other hand, it would not be unusual to have two basal cell carcinomas develop very close to each other. The bottom line is that if you have another tumor on or near the site of Mohs Surgery, it still needs to be treated, and Mohs Surgery remains the best treatment option.","John Louis Ratz, MD answers: Can my basal cell resurface 90 days after mohs surgery?",/question/harrisburg-pa-basal-cell-resurface-90-days-after-mohs-surgery
8035163,question,,"The area you are planning on having Mohs surgery is called the medial canthus. Occuloplastic surgeons can do a great job with this area. One major benefit is that if the defect left by Mohs surgery is equidistant both above and below the canthus, the wound can be left to heal by itself and generally heals with beautiful results. If any of the tear draining mechanism is damaged by the Mohs surgery, the occuloplastic surgeon is trained in its repair.Best of luck to you. jlr","John Louis Ratz, MD answers: Concerns with Mohs surgery on the side of nose near the tear duct. What options are available?",/question/nyack-ny-concerns-mohs-surgery-side-nose-tear-duct
8410788,question,4,"I recently had MOHS reconstruction surgery (hughs flap) on my lower eyelid due to basal cell carcinoma, approximately six months ago. The lower lid is still quite thick and red and I was wondering if it will settle more and the redness will fade? I am quite unhappy with the results and was thinking of seeing another surgeon to have further reconstruction done as I am 26 and this has ruined my confidence. Do you think additional surgery could fix this?",Does my eyelid post MOHS surgery look normal? (Photo),/question/london-gb-eyelid-post-mohs-surgery-normal
202512,question,5,"
	must a biopsy be done prior to a mohs surgery or is the mohs procedure ever done for both? I do not have insurance and am thinking that doing a Mohs procedure would possibly save me money in the long run. My lesion is on my shin.
",Do You Have to Have a Biopsy Before Mohs Surgery?,/question/biopsy-prior-mohs-surgery-mohs-procedure
4780541,question,4,I had MOHs surgery 3 days ago. Woke up day 1 after surgery with no swelling. Day 2 had a lot of swelling and day 3 its worse. I'm very red and my eye was almost swollen shut this morning. Does this look like normal swelling or should I be concerned? I have about 10-12 stitches on my forehead from the surgery.,Swelling after MOHS surgery. How much is too much? (Photo),/question/calgary-ab-swelling-after-mohs-surgeryhow
2372462,question,3,how long does it take for a skin graft to go flat after Mohs surgery? My surgery was at the bridge of my nose near the medial corner of my eye.,"After Mohs surgery, how long it will take for the skin graft to go flat?",/question/corpus-christi-tx-after-mohs-surgery-long-skin-graft-flat
11766610,question,3,"Hi! I had my 3rd Mohs surgery in same spot, left nostril to remove bcc a yr ago &amp; a full thickness skin graft &amp; bone cartilage added to support my nostril. I'm still feeling zaps of pain and continuous burning daily, even though there's nerve damage. It doesn't feel normal, as my 1st two Mohs I didnt have any burning or pain after only weeks. I'm worried there's still cancer in there. And how would I even know? I cant get a straight answer from Derms or my surgeons. I worry daily, what can I do?",Can you advise why it's still painful after 1 yr post op Mohs surgery?,/question/paradise-valley-arizona-painfull-after-yr-post-op-mohs-surgery
7172950,question,1,"I got mohs surgery on my right temple 5 months ago. I got a forward advancement flap reconstruction. My right eye area was very very swollen for a long time. It is still somewhat swollen above my eyebrow. My upper eyelid is still very swollen as well. Not as bad as originally, of course, but still significantly after 5 months. Is this normal? Should I expect lymph glands to drain properly a few months from now and the swelling to go down? What could be wrong at this point? Thanks.","Swollen eyelid 5 months after MOHS surgery, is this normal?",/question/city-industry-ca-swollen-eyelid-months-after-mohs-surgery
12452225,question,1,"I had Mohs surgery to remove a small scc 7 weeks ago. One layer was removed, followed by vertical closure. Following the procedure, I had COVID and a minor staph infection of the wound which was treated with Keflex. There are two areas of wound dehiscence that I am treating with mild soap and warm water followed by a smear of Mupirocin or Aquaphor. The areas on either side of the suture have lost all the hair stubble that was present previously. What treatment should I seek for hair loss?",Mohs surgery 7 weeks ago - how can I treat hair loss? (Photos),/question/winston-salem-north-carolina-mohs-surgery-hair-loss
2961572,question,,"Both standard excision and Mohs excision are methods used to remove skin cancers. In Mohs surgery the pathology is done while you wait. In standard excision the pathology is done over a few days to a week.Mohs pathology examines more of the margin and thus allows a narrower excision to be checked with high fidelity - ideal in places like the nose or eyelid. Also because the pathology is clear more complex stitching can be done more comfortably the same day, knowing that a positive margin won't come back a few days later.In less sensitive areas where there is more loose skin and relatively straightforward sewing can be done, the advantages of Mohs surgery over traditional excision is reduced significantly. A 2-3mm difference in the cancer removal specimen may be very important in the nose but much less important on the arm for example where in either case the wound would be stitched with a straight line for example. Similarly the difference in cure rates between the two approaches is much less for small superficial lesions on the body or arms.Other treatment options can be used for small superficial lesions.The relative value of each procedure is increasingly being determined by insurance coverage and to insure that Mohs surgery is used primarily in places where it is more beneficial, a series of appropriate use criteria were developed and are used by a number of insurance carriers to determine eligibility for Mohs. I would advise you to check with your doctor to discuss the pros and cons of each approach for your particular tumor.","Daniel Berg, MD answers: What is the difference in Mohs surgery vs. excision surgeries?",/question/findlay-difference-moes-surgery-excision-surgeries
5801242,question,,For deformity and dysfunction caused by Moh's surgery most insurances will cover for revision of the area.,"Ariel Ostad, MD answers: If Mohs surgery left you with an uneven nose or nostril, does insurance pay to fix this?",/question/boston-ma-mohs-surgery-left-uneven-nose-nostril-insurance-pay-fix
4773523,question,,"Mohs surgery attempts to preserve anatomy and function. Mohs is the preferred treatment for the removal of malignant skin tumors growing on the eyelid.&nbsp; Your Mohs surgeon will be able to give you a sense of potential eyelash loss; this depends on the depth and surface extension of the tumor.&nbsp; The base of the eyelash, the seed from which it grows, may be affected during the surgery. If this hair 'seed' is damaged, then the lash will no longer grow. Otherwise, there is a very real possibility that the  eyelash will continue to growth after surgery.&nbsp; Best of luck and health, Doc Adam ","Adam M. Rotunda, MD answers: After MOHs surgery to remove lower lid for a bcc will my eyelashes regrow or can anything be done t",/question/oldham-k1-after-mohs-surgery-remove-lid-bcc-eyelashes-regrow-normal
3238870,question,,Hi. I would recommend you followup with your Mohs surgeon to discuss this concern. It is possible there was some asymmetry to begin with but it is also possible that this might be the result of the surgery.The nose does not have much loose skin so even a small defect can be a very complicated repair with Mohs surgery. The good news is that it sounds like you recently had the surgery and typically time often helps resolve some of the swelling and tightness and distortion that may occur in the short term while the body is still recovering. Best to talk to your Mohs surgeon though.,"Omar Ibrahimi, MD, PhD answers: Had Moh's surgery on tip of nose and unhappy about nostrils? (Photo)",/question/austin-tx-mohls-surgery-tip-nose-unhappy-nostrils
3300120,question,6,Is it good to keep vaseline on a scar where stitches from mohs surgery were removed one week ago and if so for how long. Should I use some type of scar ointment.If so when would I start and what would you recommend.,Should vaseline continue to be used after stitches removed from mohs surgery one week ago?,/question/phoenix-az-vaseline-continue-after-stitches-removed-mohs-surgery-week
4846846,question,,"Thank you for your question.&nbsp; It has been my experience that swelling after Mohs is to be expected, especially delayed swelling and bruising 2-3 days after surgery.&nbsp; During the Mohs procedure, local anesthetic is injected to adequately numb the area.&nbsp; The normal swelling from the procedure coupled with any anesthetic fluid will migrate down due to gravity and settle around the eye.&nbsp; It is best to follow-up with your board certified dermatologist/Mohs surgeon for any concerns as they are familiar with your specific case. ","Kristine Romine, MD answers: Swelling after MOHS surgery. How much is too much? (Photo)",/question/calgary-ab-swelling-after-mohs-surgeryhow
7785079,question,,"Excellent question.&nbsp;&nbsp;I would suggest you see the doctor who performed the biopsy.&nbsp; They can clinically examine the area and take a swab for microbiology.&nbsp; If clinically indicated, they can prescribe you a course of antibiotics and cleanse the area.&nbsp; It is ideal for infection to be adequately treated before embarking on Mohs micrographic surgery.&nbsp; I hope this helps.&nbsp; I wish you well with your Mohs micrographic surgery.","Hooman Khorasani, MD answers: Will doctors perform Mohs surgery on an infected biopsy site on the lower leg?",/question/rochester-mi-doctor-mohs-surgery-infected-biopsy-site-leg
417681,question,5,"
	I just had a squamoush cell removed on my shoulder they are now telling me to have mohs surgery. I do not have insurance and Im a cash patient what might be the cost approx. of this treatment
",Is It Typical to Need Mohs Surgery on Your Shoulder?,/question/typical-mohs-surgery-your-shoulder
3663255,question,,"Mohs' surgery is a method of tumor removal and microscopic evaluation to treat a skin cancer. This results in a defect (hole in the skin). After Mohs', the wound may be left to heal on its own or may be repaired (Plastic Surgery). Any travel restrictions would be related to the repair in most cases. Speak with your surgeon to find out his/her recommendations.drbader","Robert S. Bader, MD answers: After Mohs surgery how long before travel by plane?",/question/chicago-il-after-mohs-surgery-long-before-travel-plane
1563115,question,,"Recovery from Mohs surgery depends on the site the Mohs surgeon operated on. Unfortunately, the leg and foot are the area of the body that take the longest to recover. Depending on your age, health status, and what type of reconstruction was done, the recovery time can be anywhere from 2 weeks to up to a few months post surgery.","Omar Ibrahimi, MD answers: How long is recovery from MOHs surgery ?",/question/beach-haven-nj-long-recovery-from-mohs-surgery
8367522,question,2,I had MOHS surgery for BCC on nose with a bilobed flap a week ago sutures came out today and I am returning to work in 4 days. Can I wear makeup to try to conceal redness and scar? The surgeon told me I could use makeup after 48 hours post suture removal - but I have read varying things on this topic . I would prefer not to work with a bandage on nose or with the area so red Thanks,When can I use makeup after sutures removed post Moh's surgery?,/question/mississauga-makeup-after-sutures-removed-post-mohs-surgery
344284,question,,"
	You should ask your surgeon how he or she will be protecting the eye and performing the procedure. If the tumor is very close to the margin of the eyelid, frequently I will use an eye shield, an opaque shield that is placed on the eye like a contact lens. This protects the eye while surgery is being performed. It is easily inserted and removed. The best that you can do is talk to the surgeon performing the Mohs surgery. Explain your anxiety and ask your questions. Don&#39;t feel embarassed to call before your surgery and ask questions that you forgot or that came up since your consultation. &nbsp;My personal preference is that your Mohs surgeon be a member of the American College of Mohs Surgery, which confirms that they&#39;ve completed a 1-2 year fellowship in Mohs surgery and reconstruction.
","Andrew Kaufman, MD answers: Mohs Surgery Lower Eyelid",/question/mohs-surgery-eyelid
196858,question,4,"
	I had Mohs surgery over a year ago to remove basel cell from my scalp. Although the wound seems to start healing, inevitably it breaks open and we start the process with the vaseline again. This happens about every 4 to 6 weeks. What else can I do to make the healing last?
",Slow Healing After Scalp Mohs Surgery,/question/scalp-mohs-surgery
587157,question,,"
	The beauty of Mohs surgery is that there is confidence that all of the skin cancer was removed at the time of surgery without waiting. My own personal experience is that I coordinate with the Mohs surgeon to send the patient to my plastic surgery office immediately following the Mohs surgery for me to do the reconstruction.

	You might want to ask the specific reasons why this answer was given.
","Larry S. Nichter, MD, MS answers: Wound Closure 10 Days After Mohs Surgery?",/question/wound-closure-10-days-after-mohs-surgery
683783,question,,"
	I agree with my colleagues here. Eight months is too long to wait for Mohs surgery. You should look for another fellowship-trained Mohs surgeon to treat your cancer within the next month or two.
","Lisa Chipps, MD answers: Wait 8 Months for MOHS Surgery?",/question/wait-months-for-mohs-surgery
12389867,question,,"Mohs surgery on the face often requires surgical repair and reconstruction to reapproximate the skin edges. Flaps or direct closure techniques are used. It is important that you optimize scar healing during this phase in order to reduce longterm scars. For red scars, we use Vbeam laser, followed by fractional laser for scar topography and contour. We recommend Platos Scar Serum twice daily for the immediate postoperative period. Fractional laser is safe for scar laser therapy. There are treatments for swelling and edema of the scars. If there is residual sutures or edema, we advise you to follow a scar treatment protocol that can minimize the time to recovery. Our office specializes in scar revisions for Mohs surgery. Best, Dr. KaramanoukianRealself100 Surgeon","Raffy Karamanoukian, MD, FACS answers: Cleaning wound 48 hours after Mohs Surgery? Dissolvable stitches?",/question/flagstaff-az-cleaning-wound-after-48-hours-after-mohs-surgery-dissolvable
7386266,question,1,"I am 29 and had mohs surgery on my right medial canthus. The defect was round, 0.7 cm in diameter. My plastic surgeon suggested linear closure. I am 2 days post surgery and regretting linear closure. My eye looks different due to tension and no longer has concave structure. The surgeon reassured me that the skin will stretch with massage, but Im not so sure. Nose is slightly more asymmetric now. I know it is too early to determine a final result, but would appreciate any opinions/suggestions.",Linear closure for medial canthus defect after mohs surgery. Was this the right decision? (photos),/question/apple-valley-ca-linear-closure-medial-canthus-defect-after-mohs-surgery-decision
504783,question,4,"
	A skin graft from behind my ear was used after MOHS surgery to remove BCC - The oculop. surgeon who did the reconstruction has told me to keep Vaseline on it but not cover it. MOHS surgeon today told me to keep it covered with a band aid and lots of Vaseline. What should I do? Does it look normal for 16 days?Also, a portion of the graft at the top has detached and is &quot;dented in&quot; which the doctor told me to keep Vaseline on and let it heal by secondary intention..will it heal dented in?
",16 Days Post MOHS Surgery/reconstruction - to Cover or Not to Cover?,/question/16-days-post-mohs-surgery-reconstruction-cover-cover
600216,question,,"
	The benefits of Mohs surgery include a lower rate of recurrence of the tumor (ie, the chances of&nbsp;the cancer&nbsp;ever coming back are lower with Mohs than&nbsp;any other procedure)&nbsp;and a more targeted removal of the tumor (only cancerous tissue is removed, sparing healthy tissue).&nbsp;

	Mohs is recommended for the shoulder if the size is greater than 2.0cm, if you have any immune suppression, if the tumor is more aggressive than usual, or if you are young (under 40 years of age), for example.&nbsp; Seeing a fellowship trained Mohs surgeon (a member of the American College of Mohs Surgery) is advised.&nbsp;

	I hope it goes well for you.
","Laurie Jacobson, MD answers: Is It Typical to Need Mohs Surgery on Your Shoulder?",/question/typical-mohs-surgery-your-shoulder
1329742,question,,"Metastasis of non-melanoma skin cancer can occur but is very uncommon. Mohs surgery has the lowest recurrence rate and also leaves the smallest possible wound. That's a win-win. Nobody wants to have Mohs surgery but the fact is that you have a large forehead skin cancer that needs to be removed. If you've found an experienced fellowship trained Mohs surgeon you are in great hands. I hope this information is helpful for you.Stephen Weber MD, FACSDenver Facial Plastic Surgeon","Stephen Weber, MD, FACS answers: Nervous about Moh's surgery",/question/lake-worth-fl-i-diagnosed-basal-cell-carcinoma-years-after-unhealing-wound-for
2022727,question,2,81 yo man has had several MOHs surgeries. Most recent on his nose and chest approx. 1 moth ago. He is careful to wear a hat when he is out but is concerned about what mor he can do to protect himsel. Thank you,What is the safest sunscreen for a MOHs patient to use?,/question/milford-ma-safest-sunscreen-mohs-patient
11914478,question,5,"This scar is a result of a Mohs surgery I had 2 years ago. I allowed the Mohs surgeon to laser the area immediately following the surgery, and then, again 1 month later. I've recently seen a facial plastic surgeon who has recommended I try microneedling first. In your opinion, would microneedling help to blend this area? Thank you.",Would Microneedling be effective on this Mohs surgery scar? (photos),/question/baton-rouge-louisiana-microneedling-effective-scar-mohs-surgery
13358910,question,3,"I had mohs surgery, just a few stitches, two weeks ago. How long to wait before proceeding with injectables?",How long should I wait between Mohs surgery and Juvederm?,/question/las-vegas-nevada-juvederm-mohs-surgery-wait-time
7495024,question,3,"Hi, does getting Mohs Surgery on the cheek pose a threat to existing cheek implants? From the looks of Mohs, I would think it makes infection or other complications a high probability .....just wondering if I'm correct here? Thanks",Is Mohs surgery safe with cheek implants?,/question/jersey-city-nj-mohs-surgery-cheek-implants
12145896,question,2,had mohs surgery about 5yrs ago on nose! cancer came back in same spot! any options!,Cancer came back in the same spot 5 years after Mohs Surgery. Any options?,/question/port-st-lucie-florida-cancer-back-spot-years-after-mohs-surgery-options
13536431,question,,"You did not say where the Moh's surgery was and where you wanted filler. Should you want filler in or near the area of Moh's, you will need to wait a minimum of 3 months.","Connie Hiers, MD, FACS answers: How long should I wait between Mohs surgery and Juvederm?",/question/las-vegas-nevada-juvederm-mohs-surgery-wait-time
1561429,question,3,I am a month and a half recovering from mohs surgery near my ankle. My foot is still swollen and there is a bit of leakage. Is this common with MOHs?,How long is recovery from MOHs surgery ?,/question/beach-haven-nj-long-recovery-from-mohs-surgery
